Article ID;Criterion 1: code availability;Criterion 2: validation type;Criterion 3: reproducibility;Crioterion 4: hardware accessibility;Criterion 5: benchmark dataset;Criterion 6: clinical relevance;Criterion 7: justification for QNN;Criterion 8: robust metrics ;Criterion 9: methodologcial contribution;Total ;Methodological quality
1;1;2;2;1;1;2;2;2;2;15;High 
2;2;2;1;1;2;1;1;2;2;14;High
3;1;2;2;1;1;2;2;2;2;15;High
4;0;1;1;1;2;2;1;2;2;12;Medium
5;2;1;2;2;2;2;2;2;2;17;High
6;1;1;1;1;1;2;1;2;1;11;Medium
7;2;2;2;2;2;2;1;2;2;17;High
8;2;2;2;2;2;2;2;2;2;18;High
9;2;2;2;2;2;2;1;2;2;17;High
10;1;1;1;1;1;1;1;1;1;9;Medium
11;0;1;1;1;2;2;0;2;1;10;Medium
12;2;2;2;1;2;2;2;2;2;17;High
13;2;2;2;2;2;2;2;2;2;18;High
14;1;1;1;1;2;2;2;2;2;14;High
15;1;1;1;0;1;1;1;1;1;8;Low
16;1;1;1;1;1;1;1;2;2;11;Medium
17;1;1;1;0;1;2;1;2;1;10;Medium
18;1;2;1;1;2;2;2;2;2;15;High
19;1;1;2;1;2;2;2;1;2;14;High
20;2;1;2;2;2;2;2;2;2;17;High
